fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	feature_fraction	min_data_in_leaf	num_leaves	min_gain_to_split	lambda_l1	lambda_l2	learning_rate	ratio_corte	iteracion_bayesiana	ganancia
20211104 114200	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	269	TRUE	161207	0.784884924301878	742	1501	0.412305679155647	64.2566151326589	82.6532387207927	0.0710482965510788	0.0685880138807477	1	268870842.3149
20211104 121532	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	428	TRUE	161207	0.472162307117833	895	550	0.466113972452669	25.166965059803	129.181516945495	0.0374061095389438	0.0694641082565736	2	271984467.280225
20211104 124940	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	426	TRUE	161207	0.809791475243401	1822	1223	0.337104128573888	3.37248976325749	41.2403926785503	0.0463709260053084	0.0718356015314382	3	283702467.224525
20211104 125358	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	359	TRUE	161207	0.694628394470783	4918	814	0.25265986280283	34.2921179062354	64.1647758644207	0.0736600874551888	0.0697972242498792	4	268182092.293763
20211104 125755	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	323	TRUE	161207	0.741118099453161	3352	1385	0.301068766832551	35.9976791984601	169.405333222156	0.0763669151325511	0.0696789394321662	5	269957092.294025
20211104 130204	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	429	TRUE	161207	0.829990228376118	1569	131	0.515045417156736	51.0015060227098	124.785188924787	0.00694279517180153	0.0684052037829891	6	228008467.455163
20211104 130538	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	318	TRUE	161207	0.716561045841081	3042	1315	0.598968933843675	68.6537766854079	111.829620027649	0.0663283008883341	0.0688183725259157	7	260289092.325738
20211104 131212	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	429	TRUE	161207	0.564233217167202	2823	1015	0.24710600965357	49.7243249980134	95.8155184318977	0.00866106922908719	0.0689884155644844	8	226200592.440738
20211104 131548	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	323	TRUE	161207	0.88099271961255	972	1147	0.859137522796768	96.8863300446953	119.842058045989	0.0538129151705237	0.0675232434877603	9	259740467.355875
20211104 132007	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	249	TRUE	161207	0.483355438627768	1350	696	0.687720242272397	66.6015653829423	178.579554164649	0.0949794031739501	0.0684025813788608	10	259703217.336263
20211104 132629	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	423	TRUE	161207	0.601934106706176	338	1271	0.378322833591873	19.454401499492	89.0483232397985	0.0438462168364952	0.0707478504855235	11	282216717.235413
20211104 133236	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	429	TRUE	161207	0.40270070337574	3446	1509	0.62048854344591	15.5431358492933	177.207438009126	0.0292995306487345	0.0695048937419761	12	259413967.303838
20211104 133745	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	402	TRUE	161207	0.307570265466347	2191	84	0.99049392015773	82.1829716733191	137.188161824763	0.0560897072941381	0.0701025978265189	13	249929342.32045
20211104 134211	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	273	TRUE	161207	0.444406286702724	4429	432	0.549095414395976	79.5051756289987	66.9457469019108	0.0888049330196061	0.0716659725391142	14	254086842.28255
20211104 134617	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	369	TRUE	161207	0.931638828769792	4765	1961	0.81899004587571	72.2847099748573	161.142135423142	0.0505854514392558	0.0702726408786621	15	255604967.31425
20211104 135312	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	430	TRUE	161207	0.540275895851664	434	604	0.0285450860142841	58.9864095589811	48.9348670983288	0.0344128687166293	NA	16	272330842.305138
20211104 135827	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	298	TRUE	161207	0.583997686114162	1786	186	0.851287725190299	39.9691802391317	28.6465420653777	0.0596872574193653	0.0693445812401976	17	264936592.298163
20211104 140403	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	391	TRUE	161207	0.341834297508467	4273	1012	0.652241310919635	5.14275756681205	148.061551577744	0.0904571800337206	0.0701678822181365	18	272178967.27115
20211104 140734	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	253	TRUE	161207	0.958884997945279	2039	520	0.147967816596585	95.97445375153	106.10675395666	0.0863891602805234	0.0685288024594945	19	261425467.339338
20211104 141259	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	427	TRUE	161207	0.985178937955061	4539	1862	0.716084676229262	55.4152203923357	16.9745303956526	0.0231010086921742	0.069984520041017	20	251906217.331113
20211104 141548	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	194	TRUE	161207	0.756084753858158	3897	1679	0.896137026288281	44.4504025949365	52.1902558526823	0.0977511470606467	0.0672433349588204	21	262962467.3496
20211104 142203	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	430	TRUE	161207	0.902831943082856	3734	342	0.136290731390805	10.9935596385705	73.7494723006551	0.0403829849565019	NA	22	275805092.240138
20211104 142821	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	429	TRUE	161207	0.372019438934512	4087	1846	0.189564234967942	75.9760108668291	153.962135138655	0.0167280391452368	0.0683590354422735	23	232363342.4257
20211104 143533	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	430	TRUE	161207	0.625426479818998	105	913	0.0961261056696198	8.54348893210824	195.811192182425	0.0192372036575606	NA	24	277696592.304813
20211104 144048	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	429	TRUE	161207	0.670461391413119	3228	267	0.430394885845349	86.0714281992322	9.09699701837131	0.015091608685117	0.069593089766495	25	243365842.3674
20211104 144708	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	430	TRUE	161207	0.391396082798019	2378	1617	0.95071626765587	22.7720519993454	5.98752306541428	0.0282204127505871	NA	26	261940842.331438
20211104 145255	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	321	TRUE	161207	0.505051164480392	1282	1750	0.0497353934084198	91.313226332256	28.2957668549248	0.0816305122147398	0.0695128990166553	27	264775967.294375
20211104 145721	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	335	TRUE	161207	0.86115610623383	2625	737	0.778894976014271	30.0944716062596	186.967681266833	0.0642747286860997	0.0697692057922528	28	267378342.289875
20211104 154344	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	412	TRUE	161207	0.730226585748761	52	928	0.0207889390419648	0.619021084304068	31.1597729214134	0.0409493173224967	0.0706534434706776	29	300397592.2007
20211104 155320	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	422	TRUE	161207	0.478478878445709	50	690	0.00189724161187397	0.121091122898307	37.9790279947262	0.0425394944694446	0.0701607740928312	30	296063217.210525
20211104 160140	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	345	TRUE	161207	0.856636932069396	69	763	0.000989994434018071	0.114468222348574	4.49500746448284	0.0386578358079902	0.0708731744264517	31	296719092.198775
20211104 161101	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	368	TRUE	161207	0.914911703984535	85	843	0.00750133638673419	0.055116994096084	60.9408767816847	0.0444598462348925	0.0685338402691831	32	296319592.26375
20211104 165528	binary	custom	TRUE	TRUE	FALSE	-100	-1	5	356	TRUE	161207	0.63525684259488	59	1029	0.00122311389515649	0.230039770472821	12.5721462906499	0.0420456929851964	0.0688555004422699	33	301510092.24155
